,Mineral Name,RRUFF Chemistry (plain),IMA Chemistry (plain),Chemistry Elements,IMA Number,RRUFF IDs,Country of Type Locality,Year First Published,IMA Status,Structural Groupname,Fleischers Groupname,Status Notes,Crystal Systems,Space Groups,Oldest Known Age (Ma),Valence Elements,Paragenetic Modes
0,Abellaite,NaPb2+2(CO3)2(OH),NaPb2(CO3)2(OH),Na Pb C O H,IMA2014-111,nan,Spain,2014,Approved,Not in a structural group, ,"Ibáñez-Insa J, Elvira J J, Llovet X, Pérez-Cano J, Oriols N, Busquets-Masó M, Hernández S (2017) Abellaite, NaPb_2_(CO_3_)_2_(OH), a new supergene mineral from the Eureka mine, Lleida province, Catalonia, Spain. European Journal of Mineralogy 29, 915-922",hexagonal,P31c|P6_3mc,370.0,Na Pb^2+ C O H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
1,Abelsonite,Ni2+C31H32N4,NiC31H32N4,Ni C H N,IMA1975-013,R070007,USA,1975,Approved,Not in a structural group, ,"Milton C, Dwornik E J, Estep-Barnes P A, Finkelman R B, Pabst A, Palmer S (1978) Abelsonite, nickel porphyrin, a new mineral from the Green River Formation, Utah, American Mineralogist 63, 930-937",triclinic,P-1,56.0,Ni^2+ C H N,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM50 - Coal and/or oil shale minerals"
2,Abenakiite-(Ce),Na26Ce3+6(SiO3)6(PO4)6(C4+O3)6(S4+O2)O,Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O,Na Ce Si O P C S,IMA1991-054,nan,Canada,1991,Approved,Not in a structural group, ,"McDonald A M, Chao G Y, Grice J D (1994) Abenakiite-(Ce), a new silicophosphate carbonate mineral from Mont Saint-Hilaire, Quebec: Description and structure determination, The Canadian Mineralogist 32, 843-854",hexagonal,R-3,124.0,Na Ce^3+ Si O P C^4+ S^4+,"Abiotic, Primary; Stage 4b: Highly evolved igneous rocks, PM35 - Ultra-alkali and agpaitic igneous rocks"
3,Abernathyite,K(U6+O2)As5+O4·3H2O,K(UO2)(AsO4)·3H2O,K U O As H,nan,nan,USA,1956,"Approved,Grandfathered",Natroautunite,autunite,"Thompson M E, Ingram B, Gross E B (1956) Abernathyite, a new uranium mineral of the metatorbernite group, American Mineralogist 41, 82-90

Chemical formula revised from K(UO<sub>2</sub>)AsO<sub>4</sub>·4H<sub>2</sub>O:
Ross M, Evans H T (1964) Studies of the torbernite minerals (I): The crystal structure of abernathyite and the structurally related compounds NH<sub>4</sub>(UO<sub>2</sub>AsO<sub>4</sub>)·3H<sub>2</sub>O and K(H<sub>3</sub>O)(UO<sub>2</sub>AsO<sub>4</sub>)<sub>2</sub>·6H<sub>2</sub>O, American Mineralogist 49, 1578-1602",tetragonal,P4/nmm|P4/ncc,358.9,K U^6+ O As^5+ H,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering"
4,Abhurite,Sn2+21O6(OH)14Cl16,Sn2+21O6(OH)14Cl16,Sn O H Cl,IMA1983-061,R060227,Saudi Arabia,1983,Approved,Not in a structural group, ,"Matzko J J, Evans H T, Mrose M E, Aruscavage P (1985) Abhurite, a new tin hydroxychloride mineral, and a comparative study with a synthetic basic tin chloride, The Canadian Mineralogist 23, 233-240

Chemical formula revised from Sn<sub>3</sub>O(OH)<sub>2</sub>Cl<sub>2</sub>:
Edwards R, Gillard R D, Williams P A (1992) The stabilities of secondary tin minerals: abhurite and its relationships to Sn(II) and Sn(IV) oxides and oxyhydroxides, Mineralogical Magazine 56, 221-226",hexagonal,R32,0.0,Sn^2+ O H Cl,"Biotic, Secondary; Stage 7: Great Oxidation Event, PM47 - Low-T subaerial oxidative hydration/weathering, Stage 10b: Anthropogenic minerals, PM57 - Other minerals formed by human processes"
5,Abramovite,Pb2+2Sn4+In3+Bi3+S2-7,Pb2SnInBiS7,Pb Sn In Bi S,IMA2006-016,R070037,Russia,2006,Approved,Not in a structural group, ,"Yudovakaya M A, Trybkin N V, Koporulina E V, Belakovsky D I, Mokhov A V, Kuznetsova M V, Golovanova T I (2007) Abramovite, Pb<sub>2</sub>SnInBiS<sub>7</sub> - the new mineral from fumaroles of Kudryavy Volcano (Kurily Islands), Zapiski Rossiiskogo Mineralogicheskogo Obshchetstva 136(5), 45-51",triclinic,P1,0.04,Pb^2+ Sn^4+ In^3+ Bi^3+ S^2-,"Abiotic, Primary; Stage 3a: Earth's earliest Hadean crust, PM11 - Volcanic fumarole minerals"
6,Abswurmbachite,Cu2+Mn3+6O8(SiO4),Cu2+Mn3+6O8(SiO4),Cu Mn O Si,IMA1990-007,nan,Greece,1990,Approved,Braunite,braunite,"Reinecke T, Tillmanns E, Bernhardt H J (1991) Abswurmbachite, Cu<sup>2+</sup>Mn<sup>3+</sup><sub>6</sub>[O<sub>8</sub>/SiO<sub>4</sub>], a new mineral of the braunite group: natural occurrence, synthesis, and crystal structure, Neues Jahrbuch fur Mineralogie, Abhandlungen 163, 117-143",tetragonal,I4_1/acd,541.0,Cu^2+ Mn^3+ O Si,"Abiotic; Stage 4a: Earth's earliest continental crust, PM32 - Ba-Mn-Pb-Zn metamorphics"
7,Abuite,CaAl2(PO4)2F2,CaAl2(PO4)2F2,Ca Al P O F,IMA2014-084,nan,Japan,2014,Approved,Not in a structural group, ,"Enju S, Uehara S (2017) Abuite, CaAl_2_(PO_4_)_2_F_2_, a new mineral from the Hinomaru-Nago mine, Yamaguchi Prefecture, Japan. Journal of Mineralogical and Petrological Sciences 112, 109-115 ",orthorhombic,P2_12_12_1,,Ca Al P O F,"Abiotic, Secondary; Stage 4a: Earth's earliest continental crust, PM23 - Subaerial alteration"
8,Acanthite,Ag1+2S2-,Ag2S,Ag S,nan,R070578 R080016,Czech Republic,1855,"Approved,Grandfathered",Acanthite, ,"Kenngott A (1855) Ueber den Akanthit, eine neue Species in dem Geschlechte der Silber-Glanze. Annalen der Physik und Chemie 95, 462-464",monoclinic,P2_1/n,4000.0,Ag^1+ S^2-,"Abiotic, Biotic, Primary, Secondary; Stage 4a: Earth's earliest continental crust, PM33 - Hydrothermal metal deposits, Stage 10a: Neoproterozoic oxygenation/terrestrial biosphere, PM49 - Oxic cellular biomineralization"
9,Acetamide,CH3CONH2,CH3CONH2,C H O N,IMA1974-039,nan,Ukraine,1974,Approved,Not in a structural group, ,"Srebrodol’skii B I (1975) Acetamide CH<sub>3</sub>CONH<sub>2</sub> - a new mineral, Zapiski Vsesoyuznogo Mineralogicheskogo Obshchestva 104(3), 326-328",hexagonal,R3c,0.0,C H O N,"Biotic; Stage 10b: Anthropogenic minerals, PM54 - Coal and other mine fire minerals"
